sl.no.,brand,name,reviews date added,reviews do recommend,reviews num helpful,reviews rating,reviews,reviews ritle,reight
19,Modern House Wines,Modern House174 With Love Red Blend - 750ml Bottle,2018-01-09T17:31:52Z,TRUE,,5,"This is an excellent red wine, not to dry and not real sweet. More of a red blend. Great go with anything anytime. In the right price point as other known brands on the market.",Great Wine,0.06 lbs
20,Estancia,Estancia174 Cabernet Sauvignon - 750ml Bottle,2018-01-09T17:31:50Z,TRUE,1,5,One of the best Cabernets I had in quite sometime......!!!!!!,Excellent Cab......!!!!!!!,1.0 lbs
21,VOGA Italia,Voga Italia174 Pinot Grigio - 750ml Bottle,2018-01-09T17:31:51Z,TRUE,,5,"This is a great buy for the price. Someone had given me a bottle and I liked the look of it so much that I didn't want to open it. Had no idea it was so nicely priced and so easily available. Finally opened it when I was in a bind, needing white wine for a favorite holiday recipe and this was all I had on hand. It's a nice, smooth Pinot, very nice flavor, pleasurable to the palate. What I especially love about this brand, however, is the bottle itself! Screw off the black top and there is a smaller neck with a cork closure. The beauty is that the black cap is designed so that it will reseal the bottle without the cork needing to be squeezed back in...a really thoughtful design. I almost hate to admit how much I was impressed by it! Will be stopping by Target specifically to buy more to have in the house. Highly recommend.",Highly Recommended,1.0 lbs
22,Michelob Ultra,Michelob174 Ultra Light Cider Beer - 6pk / 12oz Bottles,2018-01-08T11:22:19Z,TRUE,1,5,Gluten free plus lower on calories plus very refreshing!,Michelob Ultra Light Cider,1.0 lbs
23,Wine Cube153,Cabernet Shiraz - 3l Bottle - Wine Cube153,2018-01-10T18:06:27Z,TRUE,,5,Best of the bunch of all of The wine Cube sku's. Target Wine Buyer: please bring back!,Please Don't Discontinue This Flavor Combination!,1.0 lbs
24,Wine Cube153,Cabernet Sauvignon - 3l Bottle - Wine Cube153,2018-01-10T05:58:03Z,,1,3,"I like the wine and I like the idea of a sealed cube during the week when only drinking a glass or two at a time. But when they re-sized the box a few months ago, it made it impossible to open and setup properly. While I applaud Target for reducing the packaging, this just isn't working.",Wine Is Good - The Cube Is Not,1.0 lbs
25,Risata,Risata174 Moscato D'asti - 750ml Bottle,2018-01-10T05:58:01Z,,1,5,"I have tried my share of Moscato D' Astis before, this has to be the smoothest that I have ever tried. Not too sweet or too fizzy but perfect. I got it for the pretty bottle but was very surprised about the taste. Try it, you won't be disappointed.",Could Not Believe The Taste,1.0 lbs
26,Barefoot,Barefoot174 Refresh Perfectly Pink - 750ml Bottle,2018-01-10T05:58:03Z,TRUE,0,5,"Highly, highly recommend!! It's sweet but not syrupy- just right! And I love that it's bubbly, I don't have to mix my wine with seltzer anymore!",My New Fave!,2.0 lbs
27,Tecate,Tecate174 Beer - 12pk / 12oz Bottles,2018-01-10T18:59:18Z,TRUE,,5,My favorite bottle design. The best cheap lager.,,15.0 lbs
28,Bud Light,Bud Light174 Raz-Ber-Rita - 12pk / 8oz Cans,2018-01-10T23:41:49Z,TRUE,1,5,Delicious. I hate all the other flavors but this one tastes great. Now if I can only find it in the store.,,3.0 lbs
29,California Roots,California Roots Cabernet Sauvignon Red Wine - 750ml,2018-01-09T21:14:07Z,TRUE,0,5,"This wine is amazing! I'm an avid wine drinker (mom life) and I'll continue to buy this for sure. For 5 it's a steal! Keep this around please, it's just another reason to love target!",Who Can Say No To Awesome $5 Wine,2.65 lbs
30,Middle Sister,Middle Sister174 Red Blend - 750ml Bottle,2018-01-09T17:31:51Z,,0,5,Love it that it's not too dry or overly sweet. Also has a good balance of alcohol.,Good Wine For Beginners...,1.0 lbs
31,Robert Mondavi Winery,Robert Mondavi Private Selection174 Bourbon Cabernet Sauvignon - 750ml Bottle,2018-01-10T05:58:02Z,TRUE,1,5,This wine was sooooo good. I usually don't like Cabernet but this special fermented wine is very tasty. It did not stay around too long.LOL.,Fantastic Wine,3.125 lbs
32,Wine Cube153,Riesling - 3l Bottle - Wine Cube153,2018-01-10T18:06:27Z,TRUE,1,5,Some of the best boxed wine I have ever tasted. Great taste and great value.,The Cube Riesling,1.0 lbs
33,Risata,Risata174 Pink Moscato - 750ml Bottle,2018-01-10T05:58:02Z,TRUE,,5,Love this Moscato and will be purchasing more on my next Target run. Let it chill in the fridge and enjoy on a hot summer day.,Perfect For Summer,1.0 lbs
34,Middle Sister,Middle Sister174 Moscato - 750ml Bottle,2018-01-10T05:58:04Z,TRUE,0,4,Had my sissies (sistafriends) over for dinner/planning meeting....and they're still talking about the loving fellowship and the great wine! I hope the store has more than 1 bottle left on its shelves!!!,We Loved It!,1.0 lbs
35,Love Noir,Love Noir174 Ros233 - 750ml Bottle,2018-01-09T17:31:51Z,TRUE,,5,Great fruity dry rose!,Yum!,2.0 lbs
36,Handsome Devil,Handsome Devil174 Malbec - 750ml Bottle,2018-01-09T17:31:50Z,TRUE,1,5,"Is this the greatest wine in the world, of course not. It is an eminently drinkable wine,as a matter of fact it is my preferred, and go to, table wine. Wine is a personal thing but for me it is my 1 pick in the under 10 category. It is well balanced, subtle, and very easy to sip. Dry without being overpowering. It is not a big bad Cabernet but it is not that in a good way. Goes great by itself or paired with cheese or a dish sauced with something heavier like a bernaise. I always have a bottle on my shelf.",An Outstanding Table Wine,1.0 lbs
37,Apothic,Apothic174 White Blend - 750ml Bottle,2018-01-10T05:38:33Z,TRUE,,5,"Delicious white wine! Light, crisp, not too sweet. Almost too good.",New Go To White,1.0 lbs
38,Wine Cube153,Pinot Noir - 3l Bottle - Wine Cube153,2018-01-09T13:24:13Z,,0,1,Just bad wine. The worst I have ever had. Try Bota Box Sarah is you are looking for a decent boxed wine.,No No No No No.... No,1.0 lbs
39,Love Noir,Love Noir174 Pinot Noir - 750ml Bottle,2018-01-10T05:58:03Z,TRUE,1,5,"I am no wine expert by any means, but I love a good red for dinner or a cold night. This is the ticket. Rich, dark, fruity! Just lovely. The hubby liked it too!",Love This Love Noir,2.0 lbs
40,Promisqous,Promisqous174 Red Blend - 750ml Bottle,2018-01-09T17:31:50Z,,0,5,Best wine I ever tasted,Best Wine I Ever Tasted,1.0 lbs
41,Wine Cube153,Chardonnay - 3l Bottle - Wine Cube153,2018-01-10T05:58:03Z,TRUE,1,5,"not fruity, very satisfying. my go to chardonnay! excellent product - would expect to pay 10 / bottle for this quality",Excellent Chardonnay,1.0 lbs
42,Wine Cube153,Red Blend - 500ml Bottle - Wine Cube153,2018-01-10T05:58:04Z,TRUE,1,5,"Picked some up on a trip to the beach as they are portable non breakable and priced right! I didn't know what to expect, honestly, my expectations were not too high, being boxed wine and all. I was pleasantly surprised! It is very drinkable delicious! When I got home I returned to Target to get the large wine cube box for at home enjoyment!",Vintner's Red Boxed Wine,0.06 lbs
43,Wine Cube153,Sauvignon Blanc - 3l Bottle - Wine Cube153,2018-01-10T05:58:02Z,,0,5,"By far the best boxed wine I've found, and comparable to medium-priced bottled sauvignon blancs. A great buy.",Great Sauvignon Blanc Even Compared To Medium-Priced Bottles,1.0 lbs
44,Wine Cube153,Sauvignon Blanc - 3l Bottle - Wine Cube153,2017-09-06T03:49:11Z,,0,5,"By far the best boxed wine I've found, and comparable to medium-priced bottled sauvignon blancs. A great buy.",Great Sauvignon Blanc Even Compared To Medium-priced Bottles,1.0 lbs
45,California Roots,California Roots Chardonnay White Wine - 750ml,2018-01-09T13:19:50Z,,,2,"Taste was absolutely fine for a 5 Chardonnay. However, BOTH bottles broke while removing the corkscrew. Second break was far enough I didn't want to risk drinking it because of risk of glass shards. I've bought cheaper wines like yellowtail, etc, and NEVER experienced a bottle breaking.",,2.65 lbs
46,California Roots,California Roots Chardonnay White Wine - 750ml,2017-11-19T10:27:27Z,TRUE,,4,"I didnt find this to be sweet at all, but everyones taste differs. I usually dont like sweet wines so I gravitate towards Chardonnay and some Sauvignon Blancs and I felt like this one had more of a buttery taste than a sweet citrusy taste like another reviewer stated. For the price, this is definitely a keeper.",Great Wine For The Price.,2.65 lbs
47,Wine Cube153,Red Blend - 3l Bottle - Wine Cube153,2018-01-10T18:06:27Z,TRUE,,5,My boyfriend brought this home on a whim. We were delighted at how tasty it was. Lasted us a couple weeks - even better!,Love It!,1.0 lbs
48,Disaronno,Disaronno174 Almond Liqueur - 750ml Bottle,2018-01-10T18:06:41Z,,1,4,I love Disaronno. It has a smooth texture and the flavor is lightly sweet. It's decadent on the rocks or with a little cream.,Delicious!,1.0 lbs
49,Wine Cube153,Pinot Grigio - 500ml Bottle - Wine Cube153,2018-01-10T11:51:34Z,TRUE,,5,I'm surprised how good this is for the price! Tastes more like Sauvignon blanc to me...,Great For The Price,1.0 lbs
50,California Roots,California Roots Red Blend Wine - 750ml,2018-01-08T13:11:21Z,TRUE,1,5,"Nice, light wine - I was not sure what to expect but was surprised how well it tasted for a 5 bottle.",,2.65 lbs
51,Wine Cube153,Chardonnay - 1l Bottle - Wine Cube153,2017-11-22T08:59:16Z,TRUE,1,4,"For as much as we drink white wine, I needed to find a budget bottle. We'd been doing 6-7 dollar bottles, but this beats that. And it's pretty good! You won't impress anyone with this, but for a Monday-Thursday, home and on a budget drinking, this is good.",Pretty Good For Wine In A Box!,2.0 lbs
52,Fancy Pants,Fancy Pants174 Cabernet Sauvignon - 750ml Bottle,2017-08-30T16:24:46Z,TRUE,,5,"I served this and all the different varieties at a party. My guests and I loved them all. Since I am not a wine expert, I will simply give you some of the notes on this variety from the Fancy Pants website: ...a robust and rich palate with ripe berries, red fruit, and toasty oak flavors. Cherries and vanilla spice on the mouth lead to a long, lingering finish.",This Wine Made My Party!,1.0 lbs
53,Beringer,Beringer174 Be. Flirty Pink Moscato - 750ml Bottle,2017-07-25T01:50:20Z,TRUE,,5,"I tried Beringer, who makes this, Pink Moscato, had no trouble opening it up with a Corkscrew, one which I just bought from Target in-store, really like its sweet, fruity flavor pink looking wine. I plan to stock up for the Holidays.",Tried The Past Type & It's My Favorite So This Should Be Great!,1.0 lbs
54,Fancy Pants,Fancy Pants174 Red Blend - 750ml Bottle,2017-12-06T23:39:17Z,,1,5,"If you like a fruit forward blend of reds with a very smooth finish and jammy taste, you will love this! I think my 9 year search for my favorite red wine has ended!",A Scrumptious Red!,1.0 lbs
55,Josh Cellars,Josh Cellars174 Ros233 - 750ml Bottle,2018-01-10T05:58:02Z,TRUE,,5,"This is a dry Rose, not sweet at all which is perfect for summer!",Refreshing Rose!,3.1 lbs
56,Coppola,Sofia Rose 750ml Bottle,2018-01-09T17:31:50Z,TRUE,,5,"A wonderful dry wine, and the taste is just divine!",Favorite Rosé,1.0 lbs
57,Coppola,Sofia Rose 750ml Bottle,2018-01-09T04:38:51Z,TRUE,,5,"A wonderful dry wine, and the taste is just divine!",Favorite Ros��,1.0 lbs
58,Strongbow,Strongbow174 Gold Apple Hard Cider - 6pk / 11.2oz Bottles,2018-01-10T18:59:42Z,TRUE,,5,Been looking for Strongbow in the US for years,Now That's Cider,7.5 lbs
59,Spikedseltzer,Spiked Seltzer174 Indian River Grapefruit - 6pk / 12oz Cans,2018-01-10T18:06:29Z,TRUE,,5,"Refreshing, nice grapefruit flavor. Not for people that dislike seltzer water. It's good out of the can or poured over ice.",Refreshing,1.0 lbs
60,Truly Spiked Sparkling,Truly174 Colima Lime - 6pk / 12oz Bottles,2018-01-10T05:38:33Z,TRUE,1,5,"IT IS NOT SWEET,AND I LIKE THAT. IF YOU LIKE THE TASTE OF SPARKLING WATER WITH THE BENEFIT OF 5 ALCOHOL. THIS IS FOR YOU.",Here Are The Reasons I Like Truly,1.0 lbs
61,Cupcake Vineyards,Cupcake Vineyards174 Cabernet Sauvignon - 750ml Bottle,2018-01-09T17:31:51Z,,,5,"Best Cabernet I've ever tasted, simple as that.","Best Cabernet I've Ever Tasted, Simple As That.",1.0 lbs
62,Truly Spiked Sparkling,Truly174 Grapefruit Pomelo - 6pk / 12oz Bottles,2018-01-10T18:06:41Z,TRUE,,5,so refreshing! LOVEIT!,I Love It!,1.0 lbs
63,Margaritaville,Cayman Jack174 Margarita Malt Beverage - 6pk / 11.2oz Bottles,2018-01-10T18:06:42Z,TRUE,1,5,"This Cayman Jack margarita is really good. I found it in a Southern California Target, but I can't find it in Northern California stores. :(",Deliciously Tangy,0.062 lbs
64,George Killian's,George Killian's174 Premium Irish Red - 6pk / 12oz Bottles,2018-01-10T18:59:18Z,,,4,"I expected this beer to be on the bitter side the first time I tried it, but I still enjoyed its smooth taste. I'd definitely buy it if I get a chance.",Decent Beer For A Good Price,31.1 lbs
65,Entwine,Entwine174 Cabernet Sauvignon - 750ml Bottle,2017-08-07T02:27:54Z,,,5,"Looked like a linear regulator from outside and no reviews on it so I ordered this puppy to put it to the test. definitely a switcher and fairly quiet. Well regulated Just like all of RM Italy products, great quality.",Looked like a linear regulator from outside and no reviews on ...,1.0 lbs
66,La Marca,La Marca174 Prosecco - 750ml Bottle,2017-09-25T11:24:48Z,TRUE,1,5,"I love sparkling wine, but I find that most brands are sweet. I'm aging and no longer want the sweet stufd. This is medium body wine with strong bubbles (I love bubbles ) . The alcohol content offers a nice buzz fairly quickly. So ecstatic I found this brand and Target carries it.",Luv This Wine,1.0 lbs
67,Gallo,Alamos174 Malbec - 750ml Bottle,2018-01-10T05:38:30Z,TRUE,,5,I served this at my baby shower and everyone went crazy over it. It's an inexpensive gem.,,1.0 lbs
68,Bogle Vineyards,Bogle Vineyards174 Chardonnay - 750ml Bottle,2017-09-20T01:18:35Z,TRUE,0,5,This wine is full-bodied and delicious.,delicious,1.0 lbs
69,Black Box,Black Box174 Cabernet Sauvignon - 3l Bottle,2017-09-20T01:18:35Z,TRUE,,4,Super wine with fruity taste. As a regular wine drinker this is our routine wine of choice. Priced right with good taste.,Great wine for price,0.062 lbs
70,Black Box,Black Box174 Cabernet Sauvignon - 3l Bottle,2017-09-20T01:18:35Z,FALSE,,1,Had a taste of either being old or spoiled. Stick with the bottle.,Not worth the money!,0.062 lbs
71,Black Box,Black Box174 Cabernet Sauvignon - 3l Bottle,2017-09-20T01:18:35Z,TRUE,,5,This is our go-to wine for dinner parties. Better than most of the 10 bottles.,Nice Red,0.062 lbs
72,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2018-01-10T11:51:07Z,,,5,"I have been enjoying Jim Beam Original for many years. I started mixing JB-O with Slice while wife and I watched Dallas. I have tried other whiskeys, but keep coming back to JB. Now I enjoy it mixed with Diet Pepsi (since I can no longer find Slice).",Always Have Jb Original On Hand,1.0 lbs
73,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2018-01-03T04:55:22Z,,,5,It goes great in apple cider,Yumm,1.0 lbs
74,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-11-30T04:17:35Z,,,5,"Consistent flavor and quality. JB with Dr. Pepper is surprisingly tasty. I highly recommend it. Love your commercials, too. Mila is doing you proud. Keep up the good work.",Always Consistent,1.0 lbs
75,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-11-20T22:26:30Z,,,5,A true classic of spirits...,A Drink That Stands Out; And Smooth As Well...,1.0 lbs
76,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-23T23:01:18Z,,,5,"I love this Bourbon as it is always my first choice when its time to unwind. Whether its Neat, On Rocks, With a Coke or Ginger Ale, or my Grandpa's Whiskey Sour, nothing tops Jim Beam!!!! Nothing!!!",Perfect & Versatile,1.0 lbs
77,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,The white label or the devil's cut dashed with some lemonade and lime cordial is how I enjoy my Jim.,It is the first drink I check everytime,1.0 lbs
78,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,Best Drink you can get,Yes I would buy again,1.0 lbs
79,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,4,to make manhattens,very reasonally priced,1.0 lbs
80,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,Best bourbon I have found...have toured distillery and love the brand..,One fine bourbon,1.0 lbs
81,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,Red Stag and Coke Zero is my go to drink. Only wish more bars and restaurants stocked it. Nothing like a good bourbon with a cherry kick !,Red Stag stands alone,1.0 lbs
82,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,I like it with dr.peper to sip and relax,Good taste,1.0 lbs
83,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,Better than the other's,The only whiskey I drink,1.0 lbs
84,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,Drank it for years and always smooth and tasty. Now it is running off the shelves at our liquor store.,Priced right and great quality,1.0 lbs
85,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,I keep Jim Beam on hand every day of the week.,Best bourbon on earth.,1.0 lbs
86,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,"I typically have this neat or with an ice cube. Its light amber appearance, sweet, woody, mossy nose, and its mild moss, white oak, mellow wintergreen mint, and dried, faintly-candied fruit flavor draws the drinker into an exploration of pin-point distilling execution. Jim Beam Original has a gradual finish, with a ghost of chocolate powder, during the fade out. Highly recommended. RJT",A Bourbon Legend,1.0 lbs
87,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,It's does have a great toaste to it the only drink I'll drink.,I would buy this drink over and over.,1.0 lbs
88,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,I had a neat 2 finger glass two weeks ago of JB Black label for the first time (I've always drank Jack Daniels) and I loved it! No more Jack for me!,Smooth,1.0 lbs
89,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,Best tasteing and defenetly the smoothest around I love it!,smoothy,1.0 lbs
90,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,,,5,I always keep a bottle of Jim Bean in my liquor cabinet. Value for price is incredible and it mixes great.,Always in my liquor cabinet,1.0 lbs
91,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,TRUE,,5,This is our favorite mixed drink whiskey and sams has the best price on a handle. We'll be buying this again,Best price,1.0 lbs
92,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-20T01:18:35Z,TRUE,,5,Best whiskey around and a price that can't be beat!!,Great product,1.0 lbs
93,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-09-02T07:00:09Z,,,4,to make manhattens,Very Reasonally Priced,1.0 lbs
94,Jim Beam,Jim Beam174 Bourbon Whiskey - 1.75l Bottle,2017-07-25T01:33:44Z,,,5,Best bourbon I have found...have toured distillery and love the brand..,One Fine Bourbon,1.0 lbs
95,Yellow Tail,Yellow Tail174 Cabernet Sauvignon - 1.5l Bottle Bottle,2018-01-09T17:31:50Z,TRUE,,5,"I drink Yellow Tail because you can not buy a perfect wine for the price of this one, I JUST LOVE IT!!!!!!",It Is A Good Wine,1.0 lbs
96,El Jimador,El Jimador174 Tequila Reposado - 750ml Bottle,2017-09-20T01:18:35Z,TRUE,0,5,I always buy this item at Walmart cause they always have it at a Great Price,Love,0.06 lbs
97,Basil Hayden's,Basil Hayden's174 Bourbon - 750ml Bottle,2018-01-10T05:38:33Z,,,5,"As a Scotch drinker, tasting Basil Hayden's for the first time changed my opinion of Bourbons. Now I enjoy both Scotch Bourbon with BH on the top of list for Bourbons!",Awesome Bourbon,2.0 lbs
98,Basil Hayden's,Basil Hayden's174 Bourbon - 750ml Bottle,2017-12-28T20:21:27Z,,,5,Very tasty bourbon!,Love Basil Hayden's,2.0 lbs
99,Basil Hayden's,Basil Hayden's174 Bourbon - 750ml Bottle,2017-09-23T23:01:18Z,,,5,Basil Hayden was my gateway to world of Burbon. Ever since I have held its flavor profile as the gold standard when trying others on the market bit I always find myself coming back to my first love.,Flavorful With A Smooth Finish,2.0 lbs
100,Basil Hayden's,Basil Hayden's174 Bourbon - 750ml Bottle,2017-09-12T05:01:11Z,,,5,Outstanding. Simply an outstanding beverage. Spicy and light with a comforting finish. A staple in my home bar rotation - I never let a bottle get near empty without backfilling it with a fresh one.,Spirit Of Choice,2.0 lbs
101,Cook's California Champagne,Cook's174 Brut Champagne - 750ml Bottle,2017-09-20T01:18:35Z,TRUE,,5,I love the Cooks champagne however I cannot drink the brut. Would love Extra dry to become available at Sams in Mobile AL.,Cooks Champagne,1.0 lbs
102,Menage A Trois,Menage A Trois174 Silk Red Blend - 750ml Bottle,2018-01-09T21:14:09Z,TRUE,1,5,"My favorite red wine has been Menage a Trois for a long time, and this SILK blend is even better than the regular blend. The price has remained affordable while the quality has remained consistently good for these red blends.",Very Drinkable,3.119 lbs
103,Gallo,Barefoot174 Riesling - 1.5l Bottle Bottle,2018-01-10T05:58:03Z,TRUE,1,5,My mother turned me on to Barefoot Riesling a few years back and it had been a reflex to always choose it when given the option.,My Favourite Riesling,1.0 lbs
104,Davinci,Davinci174 Chianti - 750ml Bottle,2018-01-09T17:31:51Z,TRUE,1,5,Been trying to find a red wine with a smooth finish. This stuff is exactly what I was looking for.,Love,1.0 lbs
105,Sauza,Hornitos Reposado Tequila - 750ml,2018-01-10T05:38:33Z,,,5,Perfect sipping tequila ... chilled and neat !,Excellente,0.062 lbs
106,Sauza,Hornitos Reposado Tequila - 750ml,2017-09-20T01:18:35Z,,,5,Perfect sipping tequila ... chilled and neat !,Excellente,0.062 lbs
107,Sauza,Hornitos Reposado Tequila - 750ml,2017-09-20T01:18:35Z,,,5,"My buddy ordered some shots of this stuff during a horns game. Frankly when it comes to tequila, I usually brace myself for a rough shot. Maybe I'm drinking the wrong stuff, because this was really easy to put back. No lingering aftertaste. Reasonably priced. Good value tequila if you're looking.",Solid tequila,0.062 lbs
108,Sauza,Hornitos Reposado Tequila - 750ml,2017-09-20T01:18:35Z,,,5,Straight over ice.,One of my favorite!,0.062 lbs
109,Pinnacle,Pinnacle174 Whipped Cream Flavored Vodka - 750ml Bottle,2018-01-10T05:38:33Z,,,5,My drink of choice when I really want to enjoy my time alone.,Amazing Drink,1.0 lbs
